gene_name,TCGA-LIHC(Asian)(158)
ERCC2,0.018987342
CEP57L1,0.018987342
AMER1,0.018987342
ANLN,0.018987342
ZNF808,0.018987342
ATRX,0.018987342
ARMC5,0.018987342
DBNL,0.018987342
ZNF841,0.018987342
ITGB8,0.018987342
SOX1,0.018987342
PHF14,0.018987342
TAF1,0.018987342
ZNF541,0.018987342
CXCR3,0.018987342
ROS1,0.018987342
GPRC6A,0.018987342
ZNF781,0.018987342
KIF22,0.018987342
SNRNP200,0.018987342
ASTL,0.018987342
FPR2,0.018987342
PCDH20,0.018987342
GPAT2,0.018987342
ANKRD36C,0.018987342
SCIN,0.018987342
